mjd,mag,mag_err,UL,filter,detected
57865.5,20.3521,0.21,False,C,1
57868.5,19.0821,0.08,False,C,1
57870.1,18.6895,0.11,False,cyan,1
57884.47,18.0052,0.04,False,i,1
57889.34,18.0152,0.13,False,i,1
57890.39,17.9252,0.11,False,i,1
57892.38,17.9552,0.09,False,i,1
57906.37,18.2352,0.09,False,i,1
57906.37,18.327,0.08,False,r,1
57906.37,18.8638,0.12,False,g,1
57907.39,18.9438,0.11,False,g,1
57911.2,19.5207,0.23,False,U,1
57911.2,20.0201,0.25,False,B,1
57913.4,18.5052,0.02,False,i,1
57914.21,18.5252,0.13,False,i,1
57914.21,18.817,0.08,False,r,1
57914.21,19.5738,0.12,False,g,1
57915.22,18.5752,0.11,False,i,1
57915.22,18.857,0.07,False,r,1
57915.22,19.7538,0.11,False,g,1
57916.28,18.5952,0.12,False,i,1
57916.28,18.927,0.1,False,r,1
57916.28,19.8538,0.12,False,g,1
57917.23,18.6552,0.11,False,i,1
57917.23,18.937,0.09,False,r,1
57917.23,19.8438,0.14,False,g,1
57919.76,18.6452,0.06,False,i,1
57919.76,18.7514,0.05,False,z,1
57919.76,18.927,0.07,False,r,1
57919.76,20.0038,0.07,False,g,1
57920.01,20.7907,0.34,False,U,1
57920.32,18.967,0.12,False,r,1
57920.32,20.0338,0.13,False,g,1
57920.32,18.7252,0.1,False,i,1
57922.32,18.7352,0.1,False,i,1
57922.32,19.067,0.1,False,r,1
57922.32,20.0338,0.11,False,g,1
57922.77,18.7552,0.09,False,i,1
57922.77,18.8014,0.07,False,z,1
57922.77,18.957,0.04,False,r,1
57922.77,20.1038,0.09,False,g,1
57923.32,18.7152,0.14,False,i,1
57923.32,19.007,0.1,False,r,1
57923.32,20.1338,0.13,False,g,1
57924.54,21.3407,,True,U,0
57934.17,19.557,0.08,False,r,1
57934.17,20.6538,0.14,False,g,1
57934.17,19.2552,0.11,False,i,1
57939.54,20.3407,,True,U,0
57941.25,19.4752,0.14,False,i,1
57941.25,20.037,0.15,False,r,1
57943.53,20.6407,,True,U,0
57952.48,20.1852,0.06,False,i,1
57952.48,20.637,0.03,False,r,1
57952.48,21.9538,0.06,False,g,1
58002.62,21.5852,0.26,False,i,1
58002.62,21.887,0.24,False,r,1
58007.1,22.237,0.18,False,r,1
58009.1,22.267,,True,r,0
58103.51,23.467,,True,r,0
58103.51,23.9538,,True,g,0
58104.01,22.6752,,True,i,0
58156.48,24.0752,,True,i,0
58195.79,25.667,,True,r,0
