mjd,mag,mag_err,UL,filter,System,detected
58624.499892,19.3447,,True,orange,AB,0
58626.535087,19.7415,,True,orange,AB,0
58628.381342,19.7069,,True,orange,AB,0
58633.270324,20.3413,,True,g,AB,0
58633.270775,20.3535,,True,g,AB,0
58633.313611,20.4625,,True,r,AB,0
58633.334814,20.4111,,True,r,AB,0
58634.469557,19.9707,,True,cyan,AB,0
58636.315324,20.435,,True,r,AB,0
58636.316226,20.4698,,True,r,AB,0
58636.441611,19.583,,True,orange,AB,0
58639.253715,20.4499,,True,g,AB,0
58639.255069,20.4527,,True,g,AB,0
58639.295173,20.2878,,True,r,AB,0
58639.296527,20.4097,,True,r,AB,0
58641.449037,19.6213,,True,orange,AB,0
58642.272719,20.5656,,True,r,AB,0
58642.273622,20.4889,,True,r,AB,0
58642.294791,20.4824,,True,g,AB,0
58642.431737,19.7665,,True,cyan,AB,0
58644.330614,19.5933,,True,orange,AB,0
58645.249386,19.6539,,True,g,AB,0
58645.249838,19.6731,,True,g,AB,0
58645.292685,19.9705,,True,r,AB,0
58645.293587,20.0425,,True,r,AB,0
58645.394806,19.4212,,True,orange,AB,0
58646.356178,19.5009,,True,orange,AB,0
58648.230324,18.9417,,True,r,AB,0
58648.230775,19.0183,,True,r,AB,0
58648.315717,19.0501,,True,g,AB,0
58648.337893,19.0723,,True,g,AB,0
58651.212847,18.2945,,True,g,AB,0
58651.213298,18.4284,,True,g,AB,0
58651.27368,18.6948,,True,r,AB,0
58651.292569,18.9613,,True,r,AB,0
58654.211342,20.2506,,True,r,AB,0
58654.274444,19.3995,,True,g,AB,0
58654.297407,19.3023,,True,g,AB,0
58654.34449,19.4392,,True,r,AB,0
58654.413285,19.714,,True,orange,AB,0
58656.44184,19.5148,,True,orange,AB,0
58657.230879,20.1795,,True,g,AB,0
58657.231782,20.1707,,True,g,AB,0
58657.340138,19.951,,True,r,AB,0
58657.34059,19.9688,,True,r,AB,0
58658.44093,19.4815,,True,orange,AB,0
58659.379487,19.8187,,True,orange,AB,0
58660.206608,18.5535,0.084,False,g,AB,1
58660.20706,18.5576,0.09,False,g,AB,1
58660.388979,18.549,0.1177,False,orange,AB,1
58660.430561,18.3538,0.0328,False,w,AB,1
58660.44304,18.424,0.0314,False,w,AB,1
58660.455509,18.4005,0.0818,False,w,AB,1
58660.468023,18.2951,0.0344,False,w,AB,1
58663.210451,16.9124,0.0406,False,g,AB,1
58663.301157,17.0411,0.0423,False,r,AB,1
58663.316261,17.0438,0.0439,False,r,AB,1
58663.379735,16.9406,0.0194,False,cyan,AB,1
58663.418301,17.0279,0.006,False,w,AB,1
58663.430176,17.0134,0.0082,False,w,AB,1
58663.44204,17.0131,0.0074,False,w,AB,1
58663.453937,17.0039,0.0092,False,w,AB,1
58664.448955,16.9964,0.0423,False,orange,AB,1
58666.210925,16.6039,0.0556,False,g,AB,1
58666.230428,16.601,0.0388,False,g,AB,1
58666.252025,16.6697,0.0485,False,r,AB,1
58666.254791,16.6776,0.0403,False,r,AB,1
58666.39226,16.589,0.018,False,cyan,AB,1
58668.375945,16.6489,0.0217,False,orange,AB,1
58669.31427,16.537,0.0493,False,r,AB,1
58669.314722,16.5155,0.0528,False,r,AB,1
58670.381706,16.602,0.0237,False,orange,AB,1
58671.810539,16.5461,0.0153,False,G,AB,1
58671.98669,16.5561,0.0153,False,G,AB,1
58672.06069,16.5561,0.0153,False,G,AB,1
58672.208912,16.4767,0.038,False,r,AB,1
58672.209814,16.4885,0.0394,False,r,AB,1
58672.299004,16.5356,0.0481,False,g,AB,1
58672.299455,16.5238,0.034,False,g,AB,1
58673.465751,16.6229,0.0186,False,orange,AB,1
58675.231921,16.6035,0.0566,False,r,AB,1
58675.246203,16.5981,0.0303,False,r,AB,1
58675.295324,16.715,0.0456,False,g,AB,1
58675.310995,16.738,0.0434,False,g,AB,1
58676.256251,16.6947,0.0396,False,orange,AB,1
58678.209583,16.7086,0.0293,False,r,AB,1
58678.210972,16.663,0.0351,False,r,AB,1
58678.397845,16.7551,0.0347,False,orange,AB,1
58679.064209,16.8761,0.0165,False,G,AB,1
58679.24036,16.8661,0.0165,False,G,AB,1
58679.265356,16.8309,0.0395,False,orange,AB,1
58679.31435,16.8761,0.0165,False,G,AB,1
58680.421231,16.9012,0.0589,False,orange,AB,1
58681.270578,16.8727,0.051,False,r,AB,1
58682.271157,16.9321,0.0412,False,r,AB,1
58682.428028,16.9871,0.0383,False,orange,AB,1
58684.169675,17.043,0.0478,False,r,AB,1
58684.20978,17.6808,0.0706,False,g,AB,1
58684.255401,17.0514,0.0387,False,orange,AB,1
58685.208495,17.8157,0.0583,False,g,AB,1
58685.317453,17.0802,0.0442,False,r,AB,1
58686.365835,17.1629,0.0573,False,orange,AB,1
58688.371565,17.3694,0.0405,False,orange,AB,1
58689.170231,17.4182,0.0424,False,r,AB,1
