mjd,mag,mag_err,UL,filter,detected
58672.314891,19.3645,inf,True,orange,0
58675.322579,19.3846,inf,True,orange,0
58676.310906,19.1261,inf,True,orange,0
58678.290601,19.0336,inf,True,orange,0
58680.294586,19.0111,inf,True,orange,0
58682.295661,19.4865,inf,True,orange,0
58684.306542,19.5892,inf,True,orange,0
58688.29652,19.4686,inf,True,orange,0
58690.291025,19.7648,inf,True,orange,0
58694.297265,19.5287,inf,True,orange,0
58696.296222,19.9424,inf,True,cyan,0
58700.320997,19.9928,inf,True,cyan,0
58708.321373,18.699,inf,True,cyan,0
58714.268421,19.8142,inf,True,orange,0
58732.260814,19.3108,inf,True,orange,0
58764.239026,19.4274,inf,True,orange,0
58772.216987,19.335,inf,True,orange,0
58784.362997,21.2159,inf,True,g,0
58817.59969,19.9459,0.0542,False,g,1
58830.562048,18.5248,0.1478,False,g,1
58833.464247,18.4997,0.149,False,r,1
58833.547638,18.4539,0.2831,False,g,1
58834.506851,18.4054,0.2875,False,r,1
58835.474502,18.3396,0.1336,False,r,1
58836.482476,18.4547,0.067,False,r,1
58836.561469,18.3036,0.0703,False,g,1
58837.469398,18.4036,0.0817,False,r,1
58837.497453,18.3795,0.0895,False,g,1
58838.469838,17.309,inf,True,g,0
58838.560763,17.492,inf,True,r,0
58845.96664,18.4159,0.0276,False,g,1
58846.1428,18.3759,0.0271,False,g,1
58846.655784,18.6062,0.1072,False,orange,1
58849.432129,18.4652,0.0736,False,r,1
58849.507268,18.3869,0.0855,False,g,1
58850.490682,18.4902,0.1103,False,r,1
58850.536562,18.3729,0.0706,False,g,1
58851.498287,18.4746,0.0779,False,r,1
58851.507986,18.3204,0.0879,False,g,1
58852.418622,18.5399,0.0655,False,r,1
58852.531874,18.4524,0.0733,False,g,1
58853.508715,18.5434,0.0791,False,g,1
58854.453379,18.4983,0.1389,False,r,1
58854.525115,18.5748,0.2581,False,g,1
58854.633372,18.8004,0.1646,False,orange,1
58855.430335,18.6799,0.149,False,g,1
58859.428055,19.2659,inf,True,r,0
58859.55199,18.8016,0.2097,False,g,1
58861.468773,18.3693,inf,True,g,0
58861.534502,18.7328,0.1453,False,r,1
58862.390659,18.8127,0.1224,False,r,1
58862.489502,18.9972,0.1385,False,g,1
58863.557858,18.9622,0.0975,False,r,1
58864.404548,19.543,inf,True,g,0
58864.490046,18.8551,0.1119,False,r,1
58866.52826,19.1749,0.2209,False,orange,1
58866.532025,19.0925,0.1457,False,r,1
58866.561701,19.1492,0.1329,False,g,1
58867.477488,18.9956,0.1258,False,r,1
58868.642565,19.16,0.175,False,orange,1
58870.535871,19.2946,0.1933,False,orange,1
58871.410775,19.4851,0.1961,False,g,1
58871.527951,19.2689,0.1518,False,r,1
58872.375,19.525,0.0757,False,g,1
58872.378906,19.172,0.0558,False,r,1
58872.382812,19.311,0.0803,False,i,1
58872.660514,19.4124,0.1601,False,cyan,1
58873.36243,19.764,0.1899,False,g,1
58873.513252,19.98,inf,True,r,0
58874.372314,19.808,0.198,False,g,1
58874.564249,19.5917,0.3446,False,orange,1
58875.44052,19.812,0.307,False,g,1
58875.509178,19.4459,0.164,False,r,1
58876.366921,20.1499,0.2491,False,g,1
58876.57118,19.8026,inf,True,r,0
58877.351736,19.5186,0.2486,False,r,1
58877.361608,19.5041,inf,True,g,0
58878.34052,19.5839,0.2854,False,r,1
58878.459155,18.8604,inf,True,orange,0
58879.344606,18.9463,inf,True,r,0
58879.490555,19.2845,inf,True,g,0
58880.350474,19.4854,0.1946,False,r,1
58880.456192,19.8463,inf,True,g,0
58881.343298,19.7166,0.2013,False,r,1
58882.54992,19.5591,0.3532,False,orange,1
58883.20836,19.8559,0.052,False,g,1
58884.582986,19.3382,inf,True,cyan,0
58886.464843,19.7984,0.1214,False,r,1
58886.46875,19.5998,0.1179,False,i,1
58887.332031,19.3918,0.2087,False,g,1
58887.335937,19.9543,0.2329,False,r,1
58887.339843,19.791,0.1357,False,i,1
58888.367187,18.7391,inf,True,g,0
58888.371093,19.8908,0.2331,False,r,1
58888.375,19.8939,0.2254,False,i,1
58889.523437,19.7041,inf,True,g,0
58889.527343,20.0528,0.3668,False,r,1
58889.53125,19.8861,0.2463,False,i,1
58893.4375,20.8216,0.208,False,g,1
58893.441406,20.1509,0.1166,False,r,1
58893.445312,20.1633,0.1532,False,i,1
58894.441406,20.4216,0.4384,False,g,1
58894.445312,20.2822,0.1137,False,r,1
58894.449218,20.0013,0.0915,False,i,1
58894.452406,19.2432,inf,True,orange,0
58899.300781,21.2031,0.1532,False,g,1
58899.304687,20.4929,0.1016,False,r,1
58899.308593,20.3363,0.1026,False,i,1
58902.45537,19.1582,inf,True,orange,0
58903.464843,21.3704,0.258,False,g,1
58903.46875,20.5561,0.1662,False,r,1
58903.472656,20.3196,0.1276,False,i,1
58906.507321,19.5592,inf,True,orange,0
58910.430163,19.6884,inf,True,orange,0
58912.394531,21.6837,0.4067,False,g,1
58912.398437,21.3689,0.2373,False,r,1
58914.493906,19.7566,inf,True,orange,0
58914.511718,21.8848,0.5149,False,g,1
58915.398437,21.0516,0.4355,False,i,1
58918.465985,19.076,inf,True,orange,0
58932.544307,19.617,inf,True,cyan,0
58942.390881,19.2726,inf,True,orange,0
58946.419309,19.0836,inf,True,orange,0
58950.301672,19.4505,inf,True,orange,0
58954.568184,18.9184,inf,True,orange,0
58956.583221,19.5067,inf,True,orange,0
58958.338085,19.4186,inf,True,orange,0
58960.504959,19.9977,inf,True,cyan,0
58962.361483,19.701,inf,True,orange,0
58964.529835,19.6979,inf,True,cyan,0
58966.427287,19.8627,inf,True,orange,0
58970.493174,19.3911,inf,True,orange,0
58972.493053,19.5105,inf,True,orange,0
58974.419231,19.1437,inf,True,orange,0
58976.38176,19.1317,inf,True,orange,0
58978.433199,19.5892,inf,True,orange,0
58982.399109,19.8222,inf,True,orange,0
58984.402566,19.4567,inf,True,cyan,0
58986.581675,19.5696,inf,True,orange,0
58988.449778,19.9004,inf,True,cyan,0
58990.490177,19.5853,inf,True,orange,0
58992.363755,20.3018,inf,True,cyan,0
58994.373165,19.3285,inf,True,orange,0
58996.56317,19.8307,inf,True,cyan,0
59000.364811,19.5006,inf,True,orange,0
59002.385232,19.4157,inf,True,orange,0
59004.401114,18.8687,inf,True,orange,0
59006.36256,19.2995,inf,True,orange,0
59008.385891,19.1697,inf,True,orange,0
59010.358992,19.233,inf,True,orange,0
59011.393511,19.9502,inf,True,cyan,0
59011.459629,19.4434,inf,True,orange,0
59014.34632,19.6264,inf,True,orange,0
59015.397938,20.0314,inf,True,cyan,0
59018.374932,19.3216,inf,True,orange,0
59020.342276,19.2918,inf,True,cyan,0
59021.160156,22.3323,0.6014,False,g,1
59021.171875,22.9681,0.2193,False,r,1
59021.179687,22.4842,0.2495,False,i,1
59026.31261,19.487,inf,True,orange,0
59028.440599,20.0225,inf,True,cyan,0
59030.305317,19.4685,inf,True,orange,0
59032.33535,19.3246,inf,True,orange,0
59034.303161,19.1571,inf,True,orange,0
59036.310571,19.5019,inf,True,orange,0
59038.275539,19.6379,inf,True,orange,0
59040.282444,19.8071,inf,True,cyan,0
59042.301787,19.5603,inf,True,orange,0
59044.332145,19.4404,inf,True,cyan,0
59048.327932,19.8409,inf,True,cyan,0
59050.274099,19.2577,inf,True,orange,0
